question,answer
What is the purpose of the C-CARES Portal?,"It enables CMPFO and its regional offices to process and track claims of members' w.r.t. Provident Fund, Pension and PF Advance."
What information is available to employees through the C-CARES Portal?,Their PF balances and the status of their claims.
What is the significance of the C-CARES Portal?,It brings down the burden of manual claim settlement of the employee by CMPFO and digitally makes available all information pertaining to employees and their claims.
What does the C-CARES Portal offer to employers and employees?,Claims-related services through APIs provided within the portal.
What is the C-CARES Portal's purpose in bridging the gap between employers and employees?,It offers transparency in the CMPFO processes by enabling members to view their PF balances online and track the processing of claims.
What are the functionalities of the Claims Settlement Sub-system?,"Claim Submission by the colliery, Claim Verification by colliery officials, Claim Processing by RO & Claim Approval by RH."
What is the benefit of the Claims Settlement Sub-system?,It highly improves the efficiency of the Claim Settlement process making it faster.
What feature of the C-CARES Portal makes the process transparent and responsive?,The facility to track the status of the claim by the member.
What is the primary objective of the Officers' Manual?,To facilitate convenient and efficient access to the Claims Settlement Sub-system of C-CARES for the officers of CMPFO and its stakeholders.
What does the Officers' Manual provide?,Step-by-step guidelines for the CMPFO and CIL officers pertaining to the Claim Settlement process.
What functionalities have been implemented on the C-CARES Portal?,"Officer, Employee, and Claim Settlement Sub-system functionalities."
What is the role of the C-CARES Portal in the Claim Settlement process?,It enables the officers to access the Claims Settlement Sub-system and facilitate the process.
What is the benefit of the C-CARES Portal's single access point for CMPFO and its regional offices?,It enables them to access the employees' database and offer claims-related services.
What is the purpose of the Data Repositories in the C-CARES Portal?,To fetch the data and serve user's request through APIs.
What is the role of the CIL Subsidiaries in the C-CARES Portal?,They can access the employees' database and offer claims-related services.
What is the benefit of the C-CARES Portal's transparency in CMPFO processes?,It enables members to view their PF balances online and track the processing of claims.
What is the purpose of the C-CARES Portal's APIs?,To interact with the Data Repositories and fetch the data to serve user's request.
What is the role of the Officer in the C-CARES Portal?,To access the Claims Settlement Sub-system and facilitate the process.
What is the benefit of the C-CARES Portal's facility to track the status of the claim by the member?,It makes the process transparent and responsive.
What is the purpose of the C-CARES Portal's step-by-step guidelines?,To facilitate convenient and efficient access to the Claims Settlement Sub-system.
What is the role of the CIL and its subsidiaries in the C-CARES Portal?,They can access the employees' database and offer claims-related services.
What is the benefit of the C-CARES Portal's single access point for CIL Subsidiaries?,It enables them to access the employees' database and offer claims-related services.
What is the purpose of the C-CARES Portal's Data Repositories?,To fetch the data and serve user's request through APIs.
What is the role of the CMPFO in the C-CARES Portal?,"To process and track claims of members' w.r.t. Provident Fund, Pension and PF Advance."
What is the benefit of the C-CARES Portal's transparency in CMPFO processes?,It enables members to view their PF balances online and track the processing of claims.
What is the purpose of the C-CARES Portal's APIs?,To interact with the Data Repositories and fetch the data to serve user's request.
What is the role of the Employee in the C-CARES Portal?,To view their PF balances and the status of their claims.
What is the benefit of the C-CARES Portal's facility to track the status of the claim by the member?,It makes the process transparent and responsive.
What is the purpose of the C-CARES Portal's step-by-step guidelines?,To facilitate convenient and efficient access to the Claims Settlement Sub-system.
What is the role of the C-CARES Portal in the Claim Settlement process?,It enables the officers to access the Claims Settlement Sub-system and facilitate the process.
What is the benefit of the C-CARES Portal's single access point for CMPFO and its regional offices?,It enables them to access the employees' database and offer claims-related services.
What is the purpose of the C-CARES Portal's Data Repositories?,To fetch the data and serve user's request through APIs.
What is the role of the CIL Subsidiaries in the C-CARES Portal?,They can access the employees' database and offer claims-related services.
What is the benefit of the C-CARES Portal's transparency in CMPFO processes?,It enables members to view their PF balances online and track the processing of claims.
What is the purpose of the C-CARES Portal's APIs?,To interact with the Data Repositories and fetch the data to serve user's request.
What is the role of the Officer in the C-CARES Portal?,To access the Claims Settlement Sub-system and facilitate the process.
What is the benefit of the C-CARES Portal's facility to track the status of the claim by the member?,It makes the process transparent and responsive.
What is the purpose of the C-CARES Portal's step-by-step guidelines?,To facilitate convenient and efficient access to the Claims Settlement Sub-system.
What is the role of the C-CARES Portal in the Claim Settlement process?,It enables the officers to access the Claims Settlement Sub-system and facilitate the process.
What is the benefit of the C-CARES Portal's single access point for CIL Subsidiaries?,It enables them to access the employees' database and offer claims-related services.
What is the purpose of the C-CARES Portal's Data Repositories?,To fetch the data and serve user's request through APIs.
Who are the officers of CMPFO and its stakeholders?,CMPFO and its stakeholders including the CIL Subsidiaries.
